Price,Area,Location,No. of Bedrooms,Location_Encoded
6998999,550,Chembur,1,17425073.26802795
6500000,700,Kharghar,1,10456264.530956848
6500000,700,Kharghar,1,10456264.530956848
6500000,650,Kharghar,1,10456264.530956848
6500000,650,Kharghar,1,10456264.530956848
6500000,711,Kharghar,1,10456264.530956848
11500000,1270,Kharghar,2,10456264.530956848
8000000,1050,Ulwe,2,7761683.373041518
15000000,1200,Kharghar,2,10456264.530956848
8000000,1100,Ulwe,2,7761683.373041518
8500000,1120,Kharghar,2,10456264.530956848
8500000,1120,Kharghar,2,10456264.530956848
6500000,950,Kharghar,2,10456264.530956848
34500000,2465,Kandivali East,3,19942455.57008331
17000000,1450,Kharghar,3,10456264.530956848
17000000,1450,Kharghar,3,10456264.530956848
5500000,675,Kharghar,1,10456264.530956848
5500000,675,Kharghar,1,10456264.530956848
8499000,1050,Kharghar,2,10456264.530956848
8500000,1100,Kharghar,2,10456264.530956848
51500000,2095,Kandivali East,5,19942455.57008331
10000000,1100,Kharghar,2,10456264.530956848
15500000,850,Kandivali East,2,19942455.57008331
36600000,1625,Thane West,4,12008191.358851675
25500000,1750,Kandivali East,3,19942455.57008331
27000000,1750,Kandivali East,3,19942455.57008331
27900000,1245,Thane West,3,12008191.358851675
25000000,1750,Kandivali East,3,19942455.57008331
3500000,1250,Naigaon East,2,3259898.431572335
2000000,1252,Naigaon East,1,3259898.431572335
2300000,510,Naigaon East,1,3259898.431572335
2300000,510,Naigaon East,1,3259898.431572335
16299999,1090,Kandivali East,2,19942455.57008331
12500000,800,Kandivali East,2,19942455.57008331
21500000,1200,Kandivali East,3,19942455.57008331
15200000,739,Thane West,2,12008191.358851675
9500000,1200,Kharghar,2,10456264.530956848
5500000,650,Ulwe,1,7761683.373041518
4200000,720,Ulwe,1,7761683.373041518
4200000,675,Kharghar,1,10456264.530956848
6900000,1060,Kalyan East,2,12536657.477215705
21000000,1075,Kandivali East,2,19942455.57008331
6990000,450,Chembur,1,17425073.26802795
15400000,711,Thane West,2,12008191.358851675
19200000,863,Thane West,3,12008191.358851675
21500000,1012,Thane West,3,12008191.358851675
16000000,731,Thane West,2,12008191.358851675
20200000,969,Thane West,3,12008191.358851675
21400000,990,Thane West,3,12008191.358851675
16500000,662,Chembur,2,17425073.26802795
24000000,1452,Mulund West,3,20572069.98986891
10700000,660,Mulund West,1,20572069.98986891
8500000,685,Malad West,1,14215638.559645081
8200000,685,Malad West,1,14215638.559645081
17500000,1600,Kharghar,3,10456264.530956848
2700000,400,Taloja,1,4112323.635028059
12900000,1860,Thane West,3,12008191.358851675
5900000,632,Thane West,1,12008191.358851675
8000000,976,Thane West,2,12008191.358851675
47000000,1500,Worli,3,60446500.50524536
37500000,1200,Worli,2,60446500.50524536
3747999,833,Palghar,2,11627672.468647854
40000000,790,Juhu,2,58276960.52177489
4351000,967,Palghar,2,11627672.468647854
14800000,800,Wadala East,1,16180337.187283933
18000000,850,Wadala,2,25458196.886413716
6500000,400,Thane West,1,12008191.358851675
10900000,876,Thane West,2,12008191.358851675
11000000,535,Jogeshwari West,1,15311736.683889914
14000000,1137,Thane West,3,12008191.358851675
5500000,900,Taloja,2,4112323.635028059
5700000,486,Thane West,1,12008191.358851675
6900000,1130,Kalyan West,2,5402967.523396111
4600000,650,Kalamboli,1,14313986.958311712
25000000,1600,Goregaon West,3,23283708.065473303
20000000,1250,Goregaon West,2,23283708.065473303
11000000,1000,Thane West,2,12008191.358851675
14800000,1300,Thane West,3,12008191.358851675
9900000,784,Thane West,2,12008191.358851675
13500000,1146,Thane West,3,12008191.358851675
9000000,550,Chembur,1,17425073.26802795
6900000,446,Borivali West,1,15910647.594565125
6900000,446,Borivali West,1,15910647.594565125
2200000,525,Nala Sopara,1,2914107.71666728
4140000,920,Dombivali East,2,8009889.367747745
4500000,920,Dombivali East,2,8009889.367747745
4600000,920,Dombivali East,2,8009889.367747745
5500000,800,Kalyan West,2,5402967.523396111
5500000,1080,Kalyan West,2,5402967.523396111
4200000,655,Kalyan West,1,5402967.523396111
4000000,550,Anjurdive,1,13485374.802772798
13899999,900,Thane West,2,12008191.358851675
8000000,2000,Vitthalwadi,3,14223215.88083322
3000000,450,Taloja,1,4112323.635028059
4000000,600,Bhiwandi,1,9029297.909994189
4500000,610,Kamothe,1,8238430.088778924
25000000,1250,Andheri West,2,41255880.9696951
51500000,1640,Andheri West,3,41255880.9696951
6350000,730,Mira Road,1,14134950.921461772
11800000,984,Thane West,2,12008191.358851675
3000000,575,Nala Sopara,1,2914107.71666728
17200000,750,Chembur,2,17425073.26802795
110000000,1850,Juhu,4,58276960.52177489
4850000,900,Ambernath East,2,10711814.646754662
13899999,992,Dahisar,2,16854206.714503538
8400000,1020,Thane West,2,12008191.358851675
26500000,1450,Powai,3,23041090.88927851
3500000,300,Andheri East,1,17894966.774751816
3500000,300,Jogeshwari East,1,16168675.75398134
5500000,400,Mulund East,1,14043873.30540845
29400000,1984,Dahisar,4,16854206.714503538
16500000,1249,Thane West,3,12008191.358851675
11900000,1461,Thane West,3,12008191.358851675
12300000,1044,Thane West,3,12008191.358851675
26900000,1505,Powai,3,23041090.88927851
16800000,975,Powai,2,23041090.88927851
17500000,978,Powai,2,23041090.88927851
16900000,700,Ghatkopar West,2,19041613.901327305
11900000,500,Kanjurmarg East,1,14372224.952460103
11000000,625,Borivali West,1,15910647.594565125
11100000,1205,Seawoods,1,21395177.98511841
9100000,1185,Mira Road East,3,8224102.533333333
11500000,1390,Mira Road East,3,8224102.533333333
43000000,1820,Jogeshwari East,2,16168675.75398134
38000000,1690,Goregaon East,2,28813531.79700447
28500000,1200,Goregaon East,2,28813531.79700447
31000000,1200,Goregaon East,1,28813531.79700447
41500000,1820,Goregaon East,3,28813531.79700447
16500000,1150,Powai,2,23041090.88927851
16500000,1150,Powai,2,23041090.88927851
15500000,985,Mulund East,2,14043873.30540845
6000000,350,Mulund East,1,14043873.30540845
9200000,558,Mulund East,1,14043873.30540845
7000000,345,Mulund East,1,14043873.30540845
12500000,800,Borivali West,2,15910647.594565125
8000000,500,Borivali West,1,15910647.594565125
6200000,425,Borivali West,1,15910647.594565125
14200000,900,Borivali West,2,15910647.594565125
12500000,900,Goregaon East,2,28813531.79700447
12200000,1150,Kandivali East,2,19942455.57008331
16200000,975,Borivali West,2,15910647.594565125
9100000,585,Borivali West,1,15910647.594565125
5100000,400,Borivali West,1,15910647.594565125
10000000,575,Borivali West,1,15910647.594565125
9800000,610,Borivali West,1,15910647.594565125
8750000,540,Borivali West,1,15910647.594565125
7800000,600,Borivali East,1,17360205.10204722
7400000,600,Borivali West,1,15910647.594565125
10000000,590,Borivali West,1,15910647.594565125
13500000,800,Borivali West,2,15910647.594565125
9500000,650,Borivali West,1,15910647.594565125
14000000,1050,Kandivali West,2,14320931.905521896
18500000,1950,Borivali West,3,15910647.594565125
16800000,1050,Borivali West,2,15910647.594565125
25000000,1600,Borivali West,3,15910647.594565125
14500000,1150,Kandivali East,2,19942455.57008331
10000000,650,Borivali West,1,15910647.594565125
14000000,800,Borivali West,2,15910647.594565125
13500000,850,Borivali West,2,15910647.594565125
14000000,750,Borivali West,2,15910647.594565125
7700000,590,Borivali West,1,15910647.594565125
10000000,600,Borivali East,1,17360205.10204722
9000000,610,Borivali West,1,15910647.594565125
22500000,1300,Borivali West,3,15910647.594565125
14500000,950,Kandivali West,2,14320931.905521896
6800000,900,Kalyan West,2,5402967.523396111
7000000,1135,Taloja,2,4112323.635028059
4500000,738,Taloja,1,4112323.635028059
3000000,830,Titwala,2,7697674.950367176
3000000,830,Titwala,2,7697674.950367176
4300000,657,Kalyan West,1,5402967.523396111
14000000,1020,Belapur,2,19393086.759014092
3700000,750,Boisar,2,3162324.503508562
15500000,850,Dahisar,2,16854206.714503538
20000000,1500,Kandivali West,3,14320931.905521896
5500000,650,Mira Road East,1,8224102.533333333
8000000,800,Mira Road East,2,8224102.533333333
24000000,2400,Sanpada,3,17156274.40966931
19500000,1600,Belapur,3,19393086.759014092
8000000,350,Santacruz East,1,16193992.17499847
7500000,950,Mira Road East,2,8224102.533333333
8600000,1060,Mira Road East,2,8224102.533333333
14000000,960,Borivali West,2,15910647.594565125
3425000,845,Titwala,2,7697674.950367176
2500000,600,Kalyan West,1,5402967.523396111
4300000,810,Boisar,3,3162324.503508562
22500000,1100,Borivali West,3,15910647.594565125
9620000,1090,Thane West,2,12008191.358851675
9100000,1082,Mira Road East,2,8224102.533333333
10800000,1050,Thane West,2,12008191.358851675
2000000,390,Bhoiwada Kalyan,1,13442565.034655234
5000000,685,Dahisar,1,16854206.714503538
11000000,1096,Thane West,2,12008191.358851675
8420000,960,Thane West,2,12008191.358851675
4100000,640,Kalyan West,1,5402967.523396111
16000000,810,Powai,2,23041090.88927851
60000000,2365,Powai,4,23041090.88927851
9500000,1050,Mira Road East,2,8224102.533333333
8400000,1002,Thane West,2,12008191.358851675
88699999,2500,Goregaon East,4,28813531.79700447
2200000,589,Palghar,1,11627672.468647854
4517000,500,Dombivali East,1,8009889.367747745
18800000,772,Ville Parle East,2,32285017.2842167
15500000,1300,Belapur,2,19393086.759014092
16200000,1100,Powai,2,23041090.88927851
19000000,1291,Seawoods,2,21395177.98511841
11500000,1000,Belapur,2,19393086.759014092
2210000,580,Titwala,1,7697674.950367176
6000000,650,Mira Road East,2,8224102.533333333
2684000,650,Titwala,1,7697674.950367176
9200000,945,Bhayandar East,2,11477190.28508956
12900000,1125,Malad West,2,14215638.559645081
9520000,1140,Thane West,2,12008191.358851675
10000000,1300,Kalyan West,3,5402967.523396111
12000000,1340,Kalyan West,3,5402967.523396111
9620000,1160,Thane West,2,12008191.358851675
2669000,639,Titwala,1,7697674.950367176
2779000,675,Titwala,1,7697674.950367176
11200000,1060,Thane West,2,12008191.358851675
6299000,759,Kalyan West,1,5402967.523396111
4200000,685,Kalyan West,1,5402967.523396111
5500000,1397,Kalyan West,2,5402967.523396111
9900000,1020,Thane West,3,12008191.358851675
40000000,893,Worli,2,60446500.50524536
16500000,1000,Powai,2,23041090.88927851
14900000,1050,Malad West,2,14215638.559645081
75100000,2100,Goregaon East,3,28813531.79700447
26800000,1502,Powai,3,23041090.88927851
27000000,1502,Powai,3,23041090.88927851
2600000,375,Dombivli (West),1,9361077.727568513
5850000,625,Thane West,1,12008191.358851675
30000000,2110,Seawoods,3,21395177.98511841
2378000,575,Titwala,1,7697674.950367176
2283000,550,Titwala,1,7697674.950367176
2435000,590,Titwala,1,7697674.950367176
16299999,1145,Malad West,2,14215638.559645081
11100000,1160,Thane West,2,12008191.358851675
5577000,715,Bhayandar East,1,11477190.28508956
7800000,785,Mira Road East,2,8224102.533333333
3329999,820,Titwala,2,7697674.950367176
70000000,2500,Seawoods,4,21395177.98511841
49500000,1092,Worli,3,60446500.50524536
17500000,3200,Panvel,5,7890890.089134022
2585000,618,Titwala,1,7697674.950367176
2574000,615,Titwala,1,7697674.950367176
2551000,609,Titwala,1,7697674.950367176
16800000,1100,Seawoods,2,21395177.98511841
5500000,620,Mira Road East,1,8224102.533333333
4095000,710,Dombivali,1,6386152.42815131
27000000,2200,Belapur,3,19393086.759014092
9000000,925,Mira Road East,2,8224102.533333333
14000000,1500,Thane West,3,12008191.358851675
8500000,901,Mira Road East,2,8224102.533333333
4600000,675,Bhayandar East,1,11477190.28508956
2500000,550,Boisar,2,3162324.503508562
23500000,1090,Malad West,2,14215638.559645081
7500000,600,Borivali West,1,15910647.594565125
5300000,695,Kalyan West,1,5402967.523396111
7500000,970,Kalyan West,2,5402967.523396111
7300000,970,Kalyan West,2,5402967.523396111
2599000,600,Dombivali East,1,8009889.367747745
2500000,560,Dombivali East,1,8009889.367747745
2582000,670,Titwala,1,7697674.950367176
8500000,810,Mira Road East,2,8224102.533333333
24000000,955,Wadala East,2,16180337.187283933
6200000,550,Mulund East,1,14043873.30540845
9000000,924,Thane West,2,12008191.358851675
6320000,384,Mira Road East,1,8224102.533333333
8800000,1083,Thane West,2,12008191.358851675
26400000,837,Ville Parle East,2,32285017.2842167
25000000,1100,Andheri West,2,41255880.9696951
15200000,513,Wadala East,1,16180337.187283933
5400000,720,Mira Road East,1,8224102.533333333
5850000,520,Thane West,1,12008191.358851675
3120000,530,Dombivali East,1,8009889.367747745
8359999,930,Thane West,2,12008191.358851675
9230000,1230,Thane West,2,12008191.358851675
2100000,589,Palghar,1,11627672.468647854
4500000,650,Dombivali,1,6386152.42815131
4200000,600,Dombivali,1,6386152.42815131
6450000,610,Thane West,1,12008191.358851675
5760000,590,Thane West,1,12008191.358851675
2174000,570,Titwala,1,7697674.950367176
2156000,565,Titwala,1,7697674.950367176
14900000,1489,Thane West,3,12008191.358851675
15200000,1490,Thane West,3,12008191.358851675
9700000,1100,Mira Road East,2,8224102.533333333
42000000,1820,Goregaon East,2,28813531.79700447
13500000,985,Mulund East,2,14043873.30540845
30000000,2000,Thane West,4,12008191.358851675
25000000,2000,Hiranandani Estates,3,15183535.074294586
43500000,2200,Hiranandani Estates,4,15183535.074294586
7000000,890,Mira Road East,2,8224102.533333333
110000000,1843,Juhu,4,58276960.52177489
8500000,1050,Kamothe,2,8238430.088778924
6500000,580,Kalwa,1,9694745.254119571
8000000,1000,Ulwe,2,7761683.373041518
7600000,920,Kalyan West,2,5402967.523396111
23000000,1650,Ghansoli,3,14206666.95268249
2460000,510,Taloja,1,4112323.635028059
4300000,635,Kalyan West,1,5402967.523396111
4600000,680,Beturkar Pada,1,13786376.115998913
6000000,950,Kalyan West,2,5402967.523396111
7548000,950,Panvel,2,7890890.089134022
6600000,975,Kalyan West,2,5402967.523396111
26900000,1545,Powai,3,23041090.88927851
13100000,1100,Kalyan West,3,5402967.523396111
6787000,850,Panvel,2,7890890.089134022
5000000,625,Kalyan West,1,5402967.523396111
6500000,720,Kalwa,1,9694745.254119571
18800000,1100,Andheri East,2,17894966.774751816
8000000,955,Kalyan West,2,5402967.523396111
8700000,1075,Dombivli (West),2,9361077.727568513
4500000,690,Dombivali East,1,8009889.367747745
3599000,620,Kalyan West,1,5402967.523396111
2700000,680,Virar,1,3947315.4002871136
2700000,650,Virar West,1,10804689.676448384
12000000,1550,Ulwe,3,7761683.373041518
17500000,1100,Malad West,2,14215638.559645081
7798999,700,Malad West,1,14215638.559645081
4400000,685,Ulwe,1,7761683.373041518
27000000,1400,Goregaon East,3,28813531.79700447
13000000,1350,Ulwe,2,7761683.373041518
19500000,1100,Goregaon East,2,28813531.79700447
19200000,1278,Chembur,2,17425073.26802795
26800000,1787,Chembur,3,17425073.26802795
22400000,1496,Chembur,2,17425073.26802795
9100000,1168,Kamothe,2,8238430.088778924
20000000,1000,Chembur,2,17425073.26802795
20000000,1200,Chembur,2,17425073.26802795
17500000,910,Powai,2,23041090.88927851
12000000,1560,Kalyan West,3,5402967.523396111
10000000,1156,Ulwe,2,7761683.373041518
16500000,1660,Ulwe,3,7761683.373041518
20000000,1450,Kandivali West,3,14320931.905521896
21100000,1050,Chembur,2,17425073.26802795
30900000,2066,Bhandup West,3,20727537.005374394
16000000,1650,Ulwe,3,7761683.373041518
18500000,965,Powai,2,23041090.88927851
10700000,1100,Thane West,2,12008191.358851675
19000000,1140,Borivali West,3,15910647.594565125
6022000,730,Mira Road East,1,8224102.533333333
9000000,1050,Mira Road East,2,8224102.533333333
11500000,1220,Ulwe,2,7761683.373041518
5000000,700,Dombivli (West),1,9361077.727568513
9500000,1150,Ulwe,2,7761683.373041518
10000000,750,Malad West,1,14215638.559645081
14000000,1170,Malad West,2,14215638.559645081
8500000,700,Malad West,1,14215638.559645081
9570000,1160,Mira Road East,2,8224102.533333333
14100000,1650,Ulwe,3,7761683.373041518
33500000,2000,Sanpada,4,17156274.40966931
14400000,860,Sanpada,2,17156274.40966931
9199000,600,Sanpada,1,17156274.40966931
6448999,910,Thane West,1,12008191.358851675
14000000,1100,Malad West,2,14215638.559645081
9500000,700,Malad West,1,14215638.559645081
9800000,610,Kurla,1,12673381.718626909
25500000,1900,Belapur,3,19393086.759014092
26000000,1500,Borivali West,3,15910647.594565125
18000000,700,Andheri East,2,17894966.774751816
4300000,700,Kharghar,1,10456264.530956848
14000000,1050,Powai,2,23041090.88927851
14500000,1100,Chembur,2,17425073.26802795
36100000,2065,Bhandup West,3,20727537.005374394
55599999,3181,Bhandup West,4,20727537.005374394
9499000,499,Chembur,1,17425073.26802795
16900000,904,Chembur,2,17425073.26802795
6000000,950,Dombivli (West),2,9361077.727568513
2249000,510,Dombivali,1,6386152.42815131
6700000,925,Kalamboli,2,14313986.958311712
16500000,1100,Vikroli East,2,14531807.486582875
15900000,826,Sion,2,23067880.271417797
11900000,538,Sion,1,23067880.271417797
22200000,742,Mulund West,2,20572069.98986891
20900000,697,Mulund West,2,20572069.98986891
19900000,664,Mulund West,2,20572069.98986891
19800000,663,Mulund West,2,20572069.98986891
19800000,661,Mulund West,2,20572069.98986891
28800000,963,Mulund West,3,20572069.98986891
30500000,1017,Mulund West,3,20572069.98986891
11200000,1150,Ulwe,2,7761683.373041518
37400000,3400,Ulwe,4,7761683.373041518
45199999,1850,Kandivali East,4,19942455.57008331
4000000,665,Kalyan West,1,5402967.523396111
4000000,665,Kalyan West,1,5402967.523396111
13500000,850,Borivali East,2,17360205.10204722
25400000,1900,Belapur,3,19393086.759014092
94900000,2255,Bandra West,3,46617421.30704468
52400000,1182,Bandra West,2,46617421.30704468
19400000,1150,Powai,2,23041090.88927851
12100000,1215,Ulwe,2,7761683.373041518
3424000,845,Titwala,2,7697674.950367176
33400000,2950,Ulwe,4,7761683.373041518
2582000,670,Titwala,1,7697674.950367176
17400000,885,Powai,2,23041090.88927851
10500000,645,Kandivali East,1,19942455.57008331
22500000,1800,Belapur,3,19393086.759014092
11399999,650,Powai,1,23041090.88927851
15900000,1090,Belapur,2,19393086.759014092
2300000,575,Nala Sopara,1,2914107.71666728
20000000,1164,Malad East,2,20889612.17056266
22500000,1500,Sanpada,3,17156274.40966931
