Price,Location,Area,Amenities,BHK
₹1.10 Cr,"Vasai West, Mumbai., Vasai West, Mumbai - Mira Road and Beyond, Maharashtra",890sqft,,3 BHK
₹6.25 Cr,"Malad West, Malad West, Mumbai - Western Mumbai, Maharashtra",2300sqft,,6 BHK
₹27.60 Cr,"Lokhandwala, Andheri West, Mumbai - Western Mumbai, Maharashtra",4600sqft,,5 BHK
₹4.15 Cr,"Off Magathaane Metro Station, Magathane Borivali East, Mumbai, Magathane, Mumbai - North Mumbai, Maharashtra",1201sqft,,3 BHK
₹4.0 Cr,"Malad East, Mumbai - Western Mumbai, Maharashtra",2800sqft,,6 BHK
₹1.20 Cr,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",572sqft,,2 BHK
₹13.0 Cr,"Versova, Mumbai, Amit Nagar, Mumbai - Western Mumbai, Maharashtra",3500sqft,,5 BHK
₹74.5 Lac,"Virar West, Mumbai, Virar West, Mumbai - Mira Road and Beyond, Maharashtra",750sqft,,3 BHK
₹3.26 Cr,"Geetanjali heritage, diamond garden, chembur, Chembur, Mumbai - Harbour Line, Maharashtra",720sqft,,2 BHK
₹2.15 Cr,"Kandivali West, Mumbai, Kandivali West, Mumbai - Western Mumbai, Maharashtra",950sqft,,3 BHK
₹9.65 Cr,"d n nagar, Andheri West, Mumbai - Western Mumbai, Maharashtra",2160sqft,,4 BHK
₹7.0 Cr,"Dadar East, Dadar East, Mumbai - South Mumbai, Maharashtra",1943sqft,,3 BHK
₹3.70 Cr,"Malad East, Mumbai, Malad East, Mumbai - Western Mumbai, Maharashtra",1514sqft,,4 BHK
₹8.46 Cr,"Malad East, Mumbai - Western Mumbai, Maharashtra",3333sqft,,4 BHK
₹1.93 Cr,"Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",525sqft,,2 BHK
Call for Price,"Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1500sqft,,4 BHK
₹5.75 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",1381sqft,,3 BHK
₹2.25 Cr,"001., New Airport Colony, Mumbai - Western Mumbai, Maharashtra",800sqft,,3 BHK
₹3.95 Cr,"Mulund Goregoan Link Road Next To Fortis Hospital Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1385sqft,,3 BHK
₹7.75 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1620sqft,,4 BHK
₹4.60 Cr,"001., Worli Sea Face, Mumbai - South Mumbai, Maharashtra",893sqft,,2 BHK
₹1.25 Cr,"Ahimsa Marg, Malad west - Mumbai - 400064, Malad West, Mumbai - Western Mumbai, Maharashtra",470sqft,,1 BHK
₹4.10 Cr,"Byculla, Mumbai, Byculla, Mumbai - South Mumbai, Maharashtra",764sqft,,2 BHK
₹12.50 Cr,"Amaya Juhu scheme Road Number 7 jvpd Scheme Juhu Andheri West Mumbai Maharashtra 400049, Juhu, Mumbai - Western Mumbai, Maharashtra",2250sqft,,5 BHK
₹3.90 Cr,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Mumbai, Maharashtra",880sqft,,2 BHK
₹82.0 Lac,"bhayandar east, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",604sqft,,2 BHK
₹5.75 Cr,"Oberoi Exquisite Goregaon East Mumbai Maharashtra 400063, Goregaon, Mumbai - Western Mumbai, Maharashtra",996sqft,,3 BHK
₹6.0 Cr,"near jain mandir indian gymkhana, Kings Circle, Mumbai - Central Mumbai, Maharashtra",1450sqft,,3 BHK
₹1.43 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",661sqft,,2 BHK
₹3.42 Cr,"Raunak Grand Centre of Mumbai, Off BKC Connector Sion - Wadala, Chembur, Mumbai - Harbour Line, Maharashtra",1200sqft,,4 BHK
₹1.25 Cr,"Siennaa, Off, Western Express Hwy, opposite Alpine, Sarova, Kandivali East, Mumbai, Maharashtra 400101, Thakur Village, Mumbai - North Mumbai, Maharashtra",403sqft,,1 BHK
₹55.0 Lac,"Vasai West, Mumbai - Mira Road and Beyond, Maharashtra",410sqft,,1 BHK
₹9.50 Cr,"1E, Mount Pleasant Rd, Malabar Hill, Mumbai, Maharashtra, Malabar Hill, Mumbai - South Mumbai, Maharashtra",1000sqft,,2 BHK
₹5.73 Cr,"Ghatkopar East, Mumbai, Naidu Colony, Mumbai - Central Line, Maharashtra",1518sqft,,4 BHK
₹95.0 Lac,"flat no 202 lords apartment, Bhandup West, Mumbai - Central Mumbai, Maharashtra",520sqft,,1 BHK
₹4.29 Cr,"Available 3bhk Flat for Sale in Kanakia Future City in Powai, Central Mumbai suburbs by Kanakia Spaces Realty is a residential project.A Carpet Area is 1300 sq.ft.Highlights of project 1st Project in India with Digital Amenities.Stunning Hill & Lake Views. Please Call for More Details & Visi",1332sqft,,4 BHK
₹6.50 Cr,"Bkc, Bandra East, Mumbai - Western Mumbai, Maharashtra",1050sqft,,3 BHK
₹5.50 Cr,"A1003 Arshie complex, panch marg versova andheri west mumbai 400061, Versova, Mumbai - Western Mumbai, Maharashtra",1632sqft,,3 BHK
₹29.0 Lac,"Global City Virar West, Virar West, Mumbai - Mira Road and Beyond, Maharashtra",434sqft,,1 BHK
₹41.0 Cr,"Altamount Road, Mumbai - South Mumbai, Maharashtra",3564sqft,,5 BHK
₹9.50 Cr,"North Avenue, Santacruz West, Mumbai, Maharashtra, India., Santacruz West, Mumbai - Western Mumbai, Maharashtra",1500sqft,,4 BHK
₹8.08 Cr,"Flat No 101 and 105B, Block A, Simla House, Napean Sea Road, Mumbai- 400036, Nepeansea Road, Mumbai - South Mumbai, Maharashtra",1369sqft,,3 BHK
₹14.50 Cr,"81 Auriate KC Marg Bandra West Mumbai Maharashtra 400050, Bandra, Mumbai - Western Mumbai, Maharashtra",4212sqft,,4 BHK
₹10.51 Cr,"Andheri East, Mumbai, Goregaon East, Mumbai - Western Mumbai, Maharashtra",2046sqft,,4 BHK
₹3.50 Cr,"Vijayanand CHS, Opp. S.R Mehta Hospital, Sion East, Mumbai - South Mumbai, Maharashtra",1200sqft,,3 BHK
₹9.60 Cr,"Andheri West, Mumbai, Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",2100sqft,,4 BHK
₹6.20 Cr,"Phase One, MHADA Colony 20, Powai Mumbai, Maharashtra, Powai, Mumbai - Central Mumbai, Maharashtra",1750sqft,,5 BHK
₹3.20 Cr,"Dindoshi, Mumbai, Goregaon, Mumbai - Western Mumbai, Maharashtra",1204sqft,,3 BHK
₹12.0 Cr,"Lower Parel West, Mumbai - South Mumbai, Maharashtra",2196sqft,,3 BHK
₹95.0 Lac,"Arab gully, Grant Road, Mumbai - South Mumbai, Maharashtra",370sqft,,1 BHK
₹2.77 Cr,"Vile Parle East, Vile Parle East, Mumbai - Western Mumbai, Maharashtra",586sqft,,2 BHK
₹1.80 Cr,"Nahar Amrit Shakti, Chandivali Farm Road, Chandilvali, Chandivali, Mumbai - Central Mumbai, Maharashtra",585sqft,,2 BHK
₹1.85 Cr,"7 bunglows near Nana Nani park, Andheri West, Mumbai - Western Mumbai, Maharashtra",520sqft,,1 BHK
₹1.60 Cr,"Prathamesh complex, Veera Desai road, opposite country, club Andheri West, Mumbai., Andheri West, Mumbai - Western Mumbai, Maharashtra",500sqft,,1 BHK
₹5.15 Cr,"matunga East, Matunga East, Mumbai - South Mumbai, Maharashtra",1088sqft,,3 BHK
₹3.25 Cr,"Borivali East, Mumbai - Western Mumbai, Maharashtra",1034sqft,,3 BHK
₹3.0 Cr,"Mumbai, Maharashtra",771sqft,,3 BHK
₹3.0 Cr,"Prabhadevi, Mumbai, Maharashtra, India., Prabhadevi, Mumbai - South Mumbai, Maharashtra",715sqft,,2 BHK
₹3.88 Cr,"white Berry Residency, Asha Nagar, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101, Thakur Complex, Mumbai - North Mumbai, Maharashtra",1294sqft,,4 BHK
₹50.0 Cr,"Walkeshwar, Mumbai-400006., Walkeshwar, Mumbai - South Mumbai, Maharashtra",4800sqft,,4 BHK
₹3.90 Cr,"Mahalakshmi, Mumbai - South Mumbai, Maharashtra",770sqft,,2 BHK
₹9.0 Cr,"Near Ruia college, Matunga East, Matunga East, Mumbai - South Mumbai, Maharashtra",1800sqft,,4 BHK
₹1.60 Cr,"Santacruz East, Mumbai - Western Mumbai, Maharashtra",800sqft,,2 BHK
₹1.90 Cr,"Kandivali East, Mumbai, Hanuman Nagar - Andheri East, Mumbai - Western Mumbai, Maharashtra",681sqft,,2 BHK
₹2.90 Cr,"Kurla West, Mumbai, Kurla West, Mumbai - Central Mumbai, Maharashtra",998sqft,,3 BHK
₹75.0 Lac,"Bhandup West, Mumbai, Bhandup West, Mumbai - Central Mumbai, Maharashtra",330sqft,,1 BHK
₹1.49 Cr,"Runwal Pinnacle, Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",717sqft,,2 BHK
₹2.75 Cr,"Sindhi society chembur east, Mumbai, Maharashtra",1200sqft,,3 BHK
₹66.0 Lac,"Mumbai, Chembur, Mumbai - Harbour Line, Maharashtra",309sqft,,1 BHK
₹3.65 Cr,"Chandavarkar Road, Borivali East, Mumbai - Western Mumbai, Maharashtra",1010sqft,,3 BHK
₹2.75 Cr,"Mahim West, Mumbai - South Mumbai, Maharashtra",767sqft,,2 BHK
₹3.50 Cr,"Mumbai, Chembur, Mumbai - Harbour Line, Maharashtra",1201sqft,,4 BHK
₹20.0 Cr,"Andheri West, Mumbai, Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",4200sqft,,8 BHK
₹4.99 Cr,"Rambaug Lane, Off, SV Rd, Behind RB Decor, Malad West, Mumbai, Maharashtra, Malad West, Mumbai - Western Mumbai, Maharashtra",1548sqft,,4 BHK
₹2.90 Cr,"Kandivali East, Mumbai, Kandivali East, Mumbai - Western Mumbai, Maharashtra",1198sqft,,4 BHK
₹12.0 Cr,"Cuffe Parade, Mumbai, Maharashtra, India., World Trade Centre, Mumbai - South Mumbai, Maharashtra",2200sqft,,3 BHK
₹12.11 Cr,"worli, Worli, Mumbai - South Mumbai, Maharashtra",2202sqft,,5 BHK
₹1.40 Cr,"Andhri West, Andheri West, Mumbai - Western Mumbai, Maharashtra",600sqft,,1 BHK
₹10.26 Cr,"Juhu Gulmohar Road Near Kaife Azmi Park in Juhu, Mumbai, Maharashtra",1800sqft,,4 BHK
₹1.35 Cr,"jay prakash nagar goregaon east, Goregaon East, Mumbai - Western Mumbai, Maharashtra",500sqft,,1 BHK
₹5.99 Cr,"Andheri West, Mumbai - Western Mumbai, Maharashtra",1350sqft,,3 BHK
₹13.06 Cr,"Worli, Mumbai - South Mumbai, Maharashtra",2255sqft,,5 BHK
₹95.0 Lac,"Kandivali West, Mumbai - Western Mumbai, Maharashtra",399sqft,,1 BHK
₹2.90 Cr,"4 bunglow andheri west, Andheri West, Mumbai - Western Mumbai, Maharashtra",850sqft,,3 BHK
₹3.75 Cr,"Sion, Mumbai - South Mumbai, Maharashtra",1251sqft,,4 BHK
₹5.65 Cr,"Byculla, Mumbai, Byculla, Mumbai - South Mumbai, Maharashtra",1206sqft,,3 BHK
₹3.05 Cr,"Wadala, Mumbai, Wadala East, Mumbai - South Mumbai, Maharashtra",902sqft,,2 BHK
₹2.10 Cr,"Ghatkopar East, Mumbai., Ghatkopar, Mumbai - Central Mumbai, Maharashtra",900sqft,,3 BHK
₹12.0 Cr,"ES Patanwala Marg, Byculla East, Byculla, Mumbai, Maharashtra 400010, Byculla, Mumbai - South Mumbai, Maharashtra",,,5 BHK
₹1.58 Cr,"Kanjurmarg East, Mumbai, Kanjurmarg East, Mumbai - Central Mumbai, Maharashtra",592sqft,,2 BHK
₹1.29 Cr,"parel, Parel, Mumbai - South Mumbai, Maharashtra",410sqft,,1 BHK
₹5.25 Cr,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",1700sqft,,4 BHK
₹3.69 Cr,"NM Joshi Marg Mahalaxmi, Byculla, Mumbai - South Mumbai, Maharashtra",883sqft,,2 BHK
₹4.85 Cr,"Mahalakshmi, Mumbai - South Mumbai, Maharashtra",850sqft,,2 BHK
₹2.35 Cr,"Andheri East, Mumbai, Andheri East, Mumbai - Western Mumbai, Maharashtra",787sqft,,2 BHK
₹4.55 Cr,"Near Chenoi College, Nagardas Road, Andheri East, Mumbai - Western Mumbai, Maharashtra",1050sqft,,3 BHK
₹1.80 Cr,"Evershine Nagar, Mumbai - North Mumbai, Maharashtra",750sqft,,2 BHK
₹14.0 Cr,"Near Kirti College, Dadar West, Mumbai - South Mumbai, Maharashtra",1800sqft,,4 BHK
₹1.0 Cr,"Sapphire Lakeside Powai lake Powai Mumbai Maharashtra 400072, Powai lake, Mumbai - Central Line, Maharashtra",600sqft,,1 BHK
₹11.50 Cr,near sai baba Tample upper Govind nagar malad east Mumbai,3000sqft,,5 BHK
₹87.0 Lac,"Mira Road East, Mumbai, Penkarpada, Mumbai - Mira Road and Beyond, Maharashtra",650sqft,,2 BHK
₹6.75 Cr,"301, NeerDarshan, 387 Shankar Mattham Road, Matunga East, Mumbai - South Mumbai, Maharashtra",1300sqft,,4 BHK
₹1.65 Cr,"Chandivali, Mumbai - Central Mumbai, Maharashtra",715sqft,,2 BHK
₹1.05 Cr,"Goregaon West, Goregaon West, Mumbai - Western Mumbai, Maharashtra",401sqft,,1 BHK
₹4.0 Cr,"Worli, Mumbai, Worli Naka, Mumbai - South Mumbai, Maharashtra",900sqft,,2 BHK
₹8.95 Cr,Plot No228 Lakshmi Niwas Sir Bhalchandra Road Ruia College Matunga Mumbai Maharashtra 400019,1725sqft,,4 BHK
₹3.83 Cr,"Rafi Ahmed Kidwai Rd, Azad Nagar, Wadala, Mumbai, Maharashtra, Wadala, Mumbai - South Mumbai, Maharashtra",1001sqft,,3 BHK
₹3.30 Cr,"Sewri, Mumbai - South Mumbai, Maharashtra",950sqft,,3 BHK
₹89.0 Lac,"Ghatkopar West, Ghatkopar West, Mumbai - Central Mumbai, Maharashtra",362sqft,,1 BHK
₹2.80 Cr,"ooo, Borivali, Mumbai - Western Mumbai, Maharashtra",808sqft,,2 BHK
₹8.75 Cr,"Borivali East, Mumbai, Datta Pada, Mumbai - North Mumbai, Maharashtra",2146sqft,,6 BHK
₹2.30 Cr,"Ghatkopar East, Garodia Nagar, Mumbai - Central Line, Maharashtra",670sqft,,2 BHK
₹1.50 Cr,"DN Nagar, Upper Juhu, Andheri West, Mumbai - Western Mumbai, Maharashtra",309sqft,,1 BHK
₹95.0 Lac,"Andheri East, Mumbai., Sher E Punjab Society, Mumbai - Western Mumbai, Maharashtra",450sqft,,1 BHK
₹11.0 Cr,"Powai, Mumbai, Central Area, Mumbai - Central Line, Maharashtra",2200sqft,,4 BHK
₹3.50 Cr,"HDIL Metropolis JP Road Andheri West Mumbai Maharashtra 400053, D.N. Nagar, Mumbai - Western Mumbai, Maharashtra",1040sqft,,3 BHK
₹3.40 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1410sqft,,4 BHK
₹3.95 Cr,"Anand Chaya Apartment RBI Colony Prabhadevi Mumbai Maharashtra 400025, Prabhadevi, Mumbai - South Mumbai, Maharashtra",927sqft,,2 BHK
₹3.40 Cr,"Basant Park, Chembur, Mumbai - Harbour Line, Maharashtra",810sqft,,3 BHK
₹47.30 Cr,"Altamount Road, Mumbai, Altamount Road, Mumbai - South Mumbai, Maharashtra",4200sqft,,5 BHK
₹1.40 Cr,"Andheri West yamuna nagar, Andheri West, Mumbai - Western Mumbai, Maharashtra",500sqft,,1 BHK
₹1.75 Cr,"Mulund West, Mumbai - Central Mumbai, Maharashtra",775sqft,,2 BHK
₹28.80 Cr,"Shivaji Park, Mumbai - Central Mumbai, Maharashtra",4800sqft,,8 BHK
₹2.16 Cr,"Mira Bhayandar, Mumbai, Mira Road East, Mumbai, Maharashtra",1428sqft,,4 BHK
₹1.14 Cr,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",920sqft,,3 BHK
₹40.0 Cr,"1, 136, Dr E Moses Rd, Gandhi Nagar, Upper Worli, Worli, Worli, Mumbai - South Mumbai, Maharashtra","15,000sqft",,5 BHK
₹4.40 Cr,"Kandivali West, Mumbai - Western Mumbai, Delhi NCR",2230sqft,,4 BHK
₹2.32 Cr,"mulund west, Nahur East, Mumbai - Central Line, Maharashtra",1125sqft,,3 BHK
₹3.30 Cr,"Andheri West, Mumbai - Western Mumbai, Maharashtra",1300sqft,,3 BHK
₹1.39 Cr,"Adarsh nagar New Link road Andheri West - 53, Adarsh Nagar - Malad West, Mumbai - Western Mumbai, Maharashtra",435sqft,,1 BHK
₹1.49 Cr,"Bandra East, Mumbai, Bandra East, Mumbai - Western Mumbai, Maharashtra",442sqft,,1 BHK
₹1.25 Cr,"Kanjurmarg West, Mumbai, Kanjurmarg West, Mumbai - Central Line, Maharashtra",555sqft,,2 BHK
₹6.50 Cr,"90 feet Road, Mulund East, Mumbai - Central Mumbai, Maharashtra",2010sqft,,6 BHK
₹2.85 Cr,"Abrol Vastu Park, Evershine Nagar, Malad West, Mumbai, Evershine Nagar, Mumbai - North Mumbai, Maharashtra",945sqft,,3 BHK
₹1.55 Cr,"Garodia Nagar Opp PNB Ghatkopar East, Mumbai, Maharashtra",576sqft,,2 BHK
₹3.0 Cr,"Kandivali West, Mumbai - Western Mumbai, Maharashtra",1485sqft,,3 BHK
₹4.85 Cr,"Kurla West, Mumbai, Kurla West, Mumbai - Central Mumbai, Maharashtra",1384sqft,,4 BHK
₹1.41 Cr,"The complete address of the site is Near Mangatram Petrol Pump, LBS Rd, Kanjurmarg West, Mumbai, Maharashtra. This project comes under the pincode of 400078.",535sqft,,1 BHK
₹1.75 Cr,"Sion, Mumbai, Pratiksha Nagar, Mumbai - Western Mumbai, Maharashtra",583sqft,,2 BHK
₹55.0 Cr,"Bandra Band Stand, Mumbai - Western Mumbai, Maharashtra",3500sqft,,5 BHK
₹14.0 Cr,"Satra Residency, 14Th Road, Khat West, Mumbai 400052., Khar West, Mumbai - Western Mumbai, Maharashtra",2800sqft,,4 BHK
₹1.45 Cr,"Pant Nagar Ghatkopar East, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",585sqft,,2 BHK
₹3.30 Cr,"Bandra Kurla Complex, Mumbai - Western Mumbai, Maharashtra",1100sqft,,3 BHK
₹2.54 Cr,"Vile Parle East, Mumbai - Western Mumbai, Maharashtra",783sqft,,3 BHK
₹4.74 Cr,"Goregaon West, Mumbai., Mahesh Nagar, Mumbai - North Mumbai, Maharashtra",1405sqft,,4 BHK
₹6.50 Cr,"Goregaon East, Mumbai, Gokuldham, Mumbai - North Mumbai, Maharashtra",2000sqft,,5 BHK
₹20.0 Cr,"Near noble chemist., Juhu, Mumbai - Western Mumbai, Maharashtra",4200sqft,,8 BHK
₹1.87 Cr,"Goregaon West, Mumbai - Western Mumbai, Maharashtra",645sqft,,2 BHK
₹28.0 Cr,"Mumbai, Malabar Hill, Mumbai - South Mumbai, Maharashtra",4200sqft,,6 BHK
₹1.0 Cr,"Bhandup west, Bhandup West, Mumbai - Central Mumbai, Maharashtra",450sqft,,1 BHK
₹85.0 Lac,"Shiv Parbat, Parbat Nagar, S V Road, Dahisar East, Mumbai 400068, Dahisar East, Mumbai - Western Mumbai, Maharashtra",394sqft,,1 BHK
₹35.0 Cr,"Ridge Road, Malabar Hill, Mumbai - South Mumbai, Maharashtra",4200sqft,,5 BHK
₹1.35 Cr,"Mahajan Wadi, Mumbai - Mira Road and Beyond, Maharashtra",1560sqft,,4 BHK
₹14.50 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",3200sqft,,5 BHK
₹5.0 Cr,"Juhu, Mumbai - Western Mumbai, Maharashtra",1100sqft,,2 BHK
₹2.30 Cr,"Jain Mandir Marg, Sarvoday Parshwanath Nagar, Mulund West, Mumbai, Maharashtra, India., Sarvodaya Nagar, Mumbai - Central Line, Maharashtra",950sqft,,3 BHK
₹7.99 Cr,"Link road near Jain Derasar, Borivali West, Mumbai - Western Mumbai, Maharashtra",2200sqft,,5 BHK
₹1.75 Cr,"801., Borivali West, Mumbai - Western Mumbai, Maharashtra",652sqft,,2 BHK
₹4.20 Cr,"90 feet Anutham, Mulund East, Mumbai - Central Mumbai, Maharashtra",1350sqft,,4 BHK
₹25.0 Cr,"Between sv road and linking road., Santacruz West, Mumbai - Western Mumbai, Maharashtra",4000sqft,,8 BHK
₹11.0 Cr,"Rustomjee Seasons Kala Nagar., Bandra East, Mumbai - Western Mumbai, Maharashtra",1940sqft,,4 BHK
₹1.20 Cr,"Kanjurmarg West, Mumbai, Kanjurmarg West, Mumbai - Central Line, Maharashtra",471sqft,,2 BHK
₹1.75 Cr,"ghatkoper, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",576sqft,,2 BHK
₹1.96 Cr,"BMC School, Haji Bapu Rd, opposite Govind Nagar, near Post Office, Devchand Nagar, Dhobi Ghat, Malad East, Mumbai, Mahar, Malad East, Mumbai - Western Mumbai, Maharashtra",853sqft,,3 BHK
₹5.0 Cr,"Olive apartment., Santacruz East, Mumbai - Western Mumbai, Maharashtra",1500sqft,,4 BHK
₹3.48 Cr,"Bkc., Bandra Kurla Complex, Mumbai - Western Mumbai, Maharashtra",1033sqft,,3 BHK
₹1.03 Cr,"Om Sahyadri Heights Pantnagar Ghatkopar East Mumbai Maharashtra 400075, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",350sqft,,1 BHK
₹4.25 Cr,"Pedder Road, Mumbai - South Mumbai, Maharashtra",660sqft,,2 BHK
₹9.50 Cr,"Rushi Tower Maharana Pratap Road Lokhandwala Complex Andheri West Mumbai Maharashtra 400053, Andheri West, Mumbai - Western Mumbai, Maharashtra",1885sqft,,4 BHK
₹5.01 Cr,"Near, Prabodhan Playground, Siddharth Nagar, Goregaon West, Mumbai - Western Mumbai, Maharashtra",1850sqft,,5 BHK
₹5.0 Cr,"Andheri West, Mumbai, Shri Swami Samarth Nagar, Mumbai - Western Mumbai, Maharashtra",1019sqft,,3 BHK
₹2.90 Cr,"Aspee Enclave, Marve Road, Malad West, Mumbai, Maharashtra, Malad West, Mumbai - Western Mumbai, Maharashtra",725sqft,,2 BHK
₹75.0 Lac,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",620sqft,,2 BHK
₹2.65 Cr,"Powai, Powai, Mumbai - Central Mumbai, Maharashtra",800sqft,,2 BHK
₹10.25 Cr,"Andheri West, Mumbai, D.N. Nagar, Mumbai - Western Mumbai, Maharashtra",2100sqft,,4 BHK
₹1.16 Cr,"Vasant Oscar L B S Road Mulund West, Mulund West, Mumbai - Central Mumbai, Maharashtra",466sqft,,1 BHK
₹62.0 Lac,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",450sqft,,1 BHK
₹4.05 Cr,"Powai, Mumbai, Powai, Mumbai - Central Mumbai, Maharashtra",1128sqft,,4 BHK
₹1.33 Cr,"Chandivali, Mumbai, Chandivali, Mumbai - Central Mumbai, Maharashtra",410sqft,,1 BHK
₹2.61 Cr,"hiranandani garden powai mumbai, Hiranandani Gardens, Mumbai - Central Mumbai, Maharashtra",560sqft,,2 BHK
₹2.50 Cr,"gokuldham goregaon east, Goregaon East, Mumbai - Western Mumbai, Maharashtra",900sqft,,2 BHK
₹5.15 Cr,"Powai, Mumbai, Chandivali, Mumbai - Central Mumbai, Maharashtra",1516sqft,,4 BHK
₹1.45 Cr,"Adjacent to Eastern Express Highway Chembur, Mumbai, Chembur, Mumbai - Harbour Line, Maharashtra",423sqft,,1 BHK
₹7.50 Cr,"Near Poddar international school, Santacruz West, Mumbai - Western Mumbai, Maharashtra",1240sqft,,3 BHK
₹1.18 Cr,"Godrej Urban Park, Opp Pappilon Park, Gate No 5, Chandivali Road, Chandivali-Powai, Mumbai -400072, Chandivali, Mumbai - Central Mumbai, Maharashtra",396sqft,,1 BHK
₹5.25 Cr,"Pascal Wadi, Madh Marve Road, Madh, Mumbai - Western Mumbai, Maharashtra",1833sqft,,4 BHK
₹1.69 Cr,"Aaradhya Nine Naidu Colony Pant Nagar Ghatkopar East Mumbai Maharashtra 400075, Naidu Colony, Mumbai - Central Line, Maharashtra",604sqft,,2 BHK
₹75.0 Lac,"90 Feet Rd, Kashimira, Mira Road, Mira Bhayandar, Maharashtra 401107, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1055sqft,,2 BHK
₹1.01 Cr,"Kandivali East, Mumbai, Akurli Nagar, Mumbai - North Mumbai, Maharashtra",415sqft,,1 BHK
₹2.03 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",650sqft,,2 BHK
₹4.85 Cr,"Parel Bhoiwada, Parel, Mumbai - South Mumbai, Maharashtra",1200sqft,,4 BHK
₹1.40 Cr,"Vinay Nagar, Mumbai - Mira Road and Beyond, Maharashtra",670sqft,,2 BHK
₹6.25 Cr,"Sale 4 Bhk with car Parking Viceroy Savaana Thakur Village Kandivali East,Mumbai",1528sqft,,4 BHK
₹6.08 Cr,"Kandivali West, Mumbai, Mahatama Gandhi Road Amrut Nagar, Mumbai - North Mumbai, Maharashtra",1788sqft,,4 BHK
